,player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year,school,school_id
613,Marcus Wilson,Arizona St.,14,6-3,175,R/R,"Los Angeles, CA",Rd 2 Comp by Cardinals (2014),None,SGV Arsenal,"Big time all around tools. 6.5 runner 92 OF, Big power potential. Keeps getting better each time we see him. PG AA",2014,Arizona St.,28.0
614,Spencer Adams,Georgia,15,6-5,190,R/R,"Cleveland, GA",Rd 2 by White Sox (2014),None,Team Elite,Arm works really well and showed low 90's heat this summer at WWBA and PG National,2014,Georgia,257.0
615,Michael Kopech,Arizona,16,6-4,190,R/R,"Mount Pleasant, TX",Rd 1 by Red Sox (2014),White Sox (2018),Dallas Tigers,"Outstanding RHP, arm works very well, up to 94 at PG National. PG AA",2014,Arizona,29.0
616,Scott Blewett,St. John's (NY),17,6-6,235,R/R,"Baldwinsville, NY",Rd 2 by Royals (2014),Royals (2020),Sports Zone,"Easy low 90's with more to come. Very good at PG National, WWBA and ECP. Up to 95 mph at WWBA World Championship",2014,St. John's (NY),603.0
617,Ti'quan Forbes,Ole Miss,18,6-4,175,R/R,"Columbia, MS",Rd 2 by Rangers (2014),None,Texas Sun Devils,"Big power potential, 6.56 runner. Very high ceiling talent. Really impressed at PG AA",2014,Ole Miss,433.0
618,Braxton Davidson,North Carolina,19,6-3,215,L/L,"Arden, NC",Rd 1 by Braves (2014),None,Dirtbags,"Big strong hitter,very  good power potential, ball comes off bat different. Stood out at PG National and PG AA",2014,North Carolina,457.0
619,Jacob Bukauskas,North Carolina,20,6-1,195,R/R,"Ashburn, VA",Rd 1 by Astros (2017),Diamondbacks (2021),Evoshield Canes,New to 2014 class. Can flat out pitch. Have seen up to 93 mph and reports and even better so far this year!,2014,North Carolina,457.0
621,Monte Harrison,Nebraska,22,6-2,195,R/R,"Lee's Summit, MO",Rd 2 by Brewers (2014),Marlins (2020),Marucci Elite,"Very projectable all around talent. 6.65 runner, 97 mph form the OF and bat projects well. Bat made big strides this summer. PG AA",2014,Nebraska,463.0
622,Justus Sheffield,Vanderbilt,23,6-0,190,L/L,"Tullahoma, TN",Rd 1 by Indians (2014),Yankees (2018),Tullahoma Cardinals/Knights Baseball,Loose Projectable low 90's LHP. Very good at PG National,2014,Vanderbilt,736.0
623,Jakson Reetz,Nebraska,24,6-1,195,R/R,"Hickman, NE",Rd 3 by Nationals (2014),Nationals (2021),Marucci Elite,"Top 2 way talent, very good hitting tools, big arm behind the plate and low 90's on mound. MVP of PG AA Game",2014,Nebraska,463.0
