,player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year,school,school_id
779,Hagen Danner,UCLA,30,6-2,195,R/R,"Huntington Beach, CA",Rd 2 by Blue Jays (2017),None,Evoshield Canes,Talented 2 way prospect low 90's on the mound very interesting catcher and bat. MVP WWBA 16u. Really impressed with bat and on the mound in Jupiter ,2017,UCLA,110.0
780,Jacob Gonzalez,TCU,31,6-4,210,R/R,"Scottsdale, AZ",Rd 2 by Giants (2017),None,AZ T-Rex Baseball,Can flat out rake. MVP at 17u PG World Series and hit well at PG All American,2017,TCU,698.0
781,Garrett Mitchell,UCLA,32,6-3,200,L/R,"Orange, CA",Rd 1 by Brewers (2020),None,CBA Marucci,Outstanding all around talent and athlete. High ceiling player 6.3 runner and 94 from OF at PG National. Showed big arm in game at PG All American Classic. Fun to watch him play,2017,UCLA,110.0
782,Tanner Burns,Auburn,33,6-0,215,R/R,"Decatur, AL",Rd 1 Comp by Indians (2020),None,FTB Tucci,Runs his fastball up to 95 mph at PG National and can really pitch!,2017,Auburn,37.0
783,Luis Campusano,South Carolina,34,6-0,195,R/R,"Augusta, GA",Rd 2 by Padres (2017),Padres (2020),Baseball Scoutz,Showed very well at PG National with good catching tools and big potential with bat,2017,South Carolina,648.0
784,Quentin Holmes,Mississippi St.,35,6-2,180,R/R,"East Elmhurst, NY",Rd 2 by Indians (2017),None,Elite Squad Prime 17U,Extremely fast and showed very good with the bat with power at WWBA. Impressed at PG National and ran a record breaking 6.15,2017,Mississippi St.,430.0
785,Ryan Vilade,Oklahoma St.,36,6-2,190,R/R,"Stillwater, OK",Rd 2 by Rockies (2017),Rockies (2021),Dallas Tigers,Ball just flies off his barrel. Serious juice in his bat,2017,Oklahoma St.,521.0
786,Matthew Sauer,Arizona,37,6-4,205,R/R,"Santa Maria, CA",Rd 2 by Yankees (2017),None,Wahoos,Low 90's RHP with good breaking ball at PG National. BIg velo jump this spring,2017,Arizona,29.0
787,Christopher Seise,UCF,38,6-3,170,S/R,"Winter Garden, FL",Rd 1 by Rangers (2017),None,Orlando Scorpions,Good SS and has the bat to go with it. Showed big tools at PG National,2017,UCF,128.0
788,Tristen Lutz,Texas,39,6-3,205,R/R,"Arlington, TX",Rd 1 Comp by Brewers (2017),None,Academy Select Sundevils,Can really hit. Bat stood out in Jupiter ,2017,Texas,703.0
789,Steven Jennings,Ole Miss,40,6-2,175,R/R,"Brush Creek, TN",Rd 2 by Pirates (2017),None,Team Nike 17u,Outstanding at 17u WWBA last summer and even better this spring and reaching mid 90s,2017,Ole Miss,433.0
790,Kyle Jacobsen,UCF,41,6-0,185,R/L,"Acworth, GA",Rd 33 by Brewers (2017),None,East Cobb Yankees 18U,Showed big tools at PG National and knows how to use them in games. Big time player. Stood out in Jupiter ,2017,UCF,128.0
791,Caleb Sloan,TCU,42,6-3,215,R/R,"Centennial, CO",None,None,Slammers Black Zavaras,Very good and up to 94 mph at PG National and PG All American,2017,TCU,698.0
792,Jake Eder,Vanderbilt,43,6-4,210,L/L,"Ocean Ridge, FL",Rd 4 by Mariners (2020),None,FTB Tucci,Up to 94 mph in Jupiter and showed high end potential,2017,Vanderbilt,736.0
793,Jacob Pearson,LSU,44,6-0,195,L/R,"West Monroe, LA",Rd 3 by Angels (2017),None,Marucci Elite,6.5 runner with big juice in his bat. Impressed at PG All American. ,2017,LSU,365.0
794,Jack Leftwich,Florida,45,6-2,210,R/R,"Maitland, FL",Rd 7 by Indians (2021),None,Orlando Scorpions 2017 Prime,Up to 94 mph at PG National. Touched 95 at PG HS Showdown,2017,Florida,235.0
795,Jeremiah Estrada,UCLA,46,6-1,185,S/R,"La Quinta, CA",Rd 6 by Cubs (2017),None,CBA Marucci,Up to 94 mph at PG National. Outstanding at 17u WWBA and 17u PG World Series as well as PG All American Classic,2017,UCLA,110.0
796,Adam Hall,Texas A&M,47,6-0,165,R/R,"London, ON",Rd 2 by Orioles (2017),None,Great Lake Canadians/Canadian Junior National Team,Showed all 5 tools at PG National,2017,Texas A&M,697.0
797,Mitchell Stone,Oklahoma St.,48,6-9,255,L/L,"Oklahoma City, OK",None,None,FTB Tucci,Big projectable LHP who can already reach the low 90s with good breaking ball at PG National. Very good at PG All American Classic,2017,Oklahoma St.,521.0
798,Logan Allen,FIU,49,None,None,R/L,"Deltona, FL",Rd 2 by Indians (2020),None,FTB Tucci,Low 90's LHP who can flat out pitch. Very good at PG All American Classic,2017,FIU,231.0
799,Jeter Downs,Miami (FL),50,6-0,180,R/R,"Miami, FL",Rd 1 Comp by Reds (2017),None,Elite Squad 17u Prime,Outstanding all around athlete who can really play,2017,Miami (FL),415.0
800,Matthew Liberatore,Arizona,1,6-5,200,L/L,"Peoria, AZ",Rd 1 by Rays (2018),None,Central Florida Gators,LHP up to 95 mph at PG AA game and can really pitch,2018,Arizona,29.0
801,Ethan Hankins,Vanderbilt,2,6-6,200,R/R,"Cumming, GA",Rd 1 Comp by Indians (2018),None,Team Elite Prime 17U,Keeps getting better each time we see him and has been up to 97 mph. Very good at PG National and PG All American. Absolutely dominant this summer . From 82 mph to 97 mph. Up to 95 in 2016 at WWBA in the fall and MVPitcher WWBA World Championship. ,2018,Vanderbilt,736.0
803,Jarred Kelenic,Louisville,4,6-1,196,L/L,"Waukesha, WI",Rd 1 by Mets (2018),Mariners (2021),Rawlings Hitters,"Can really hit. Ball flies off his barrel. Showed big 5 tool potential at PG National and PG All American, Outstanding all fall 2016 including MVP of WWBA Kernels. ",2018,Louisville,367.0
804,Nolan Gorman,Arizona,5,6-1,210,L/R,"Glendale, AZ",Rd 1 by Cardinals (2018),None,Central Florida Gators,Can flat out rake and showed it at WWBA and PG Junior National. Had a great fall. Seems like he gets a hit every time up. MVP PG AA and hit a HR in game,2018,Arizona,29.0
805,Nander De Sedas,Florida St.,6,6-2,190,S/R,"Montverde, FL",Rd 29 by Brewers (2018),None,FTB 55,6.82 90 IF at PG Junior National and very good switch hitter with big potential. 6.67 and 96 across the IF at National. Special all around player. PG AA,2018,Florida St.,234.0
806,Ryan Weathers,Vanderbilt,7,6-2,225,R/L,"Loretto, TN",Rd 1 by Padres (2018),Padres (2021),Dulins Dodgers,Throws easy low to mid 90s. Fun to watch him pitch,2018,Vanderbilt,736.0
807,Kumar Rocker,Vanderbilt,8,6-4,255,R/R,"Watkinsville, GA",Rd 1 by Mets (2021),None,Team Elite Prime,Up to 98 mph and now showing a power Breaking ball. Fun to watch him pitch. Dominant summer. PG All American,2018,Vanderbilt,736.0
808,Jordan Groshans,Kansas,9,6-3,190,R/R,"Magnolia, TX",Rd 1 by Blue Jays (2018),None,Banditos Black,Easy bat speed with big power potential. Very good at PG National including a game HR. Another game HR at PG AA.,2018,Kansas,328.0
809,Will Banfield,Vanderbilt,10,6-1,208,R/R,"Lawrenceville, GA",Rd 2 by Marlins (2018),None,Team Elite Prime,"Special defensive catcher, Hit very well this fall, Outstanding at PG National. can really hit with big power and up to 94 mph on the mound. Very good at WWBA and PG AA. Hit very well this fall",2018,Vanderbilt,736.0
810,Mason Denaburg,Florida,11,6-4,195,R/R,"Merritt Island, FL",Rd 1 by Nationals (2018),None,Central Florida Gators,Up to 97 mph on the mound at PG National and big power in his bat. PG AA,2018,Florida,235.0
811,Cole Winn,TCU,12,6-2,195,R/R,"Orange, CA",Rd 1 by Rangers (2018),None,None,Up to 94 and dominant in Jupiter. Up to 94 at WWBA and Area Codes,2018,TCU,698.0
812,Brice Turang,LSU,13,6-1,165,L/R,"Corona, CA",Rd 1 by Brewers (2018),None,Playa Vista Orioles,Very athletic all around player who really projects in all phases. Really stood out at PG Evoshield and CA World Series. USA Baseball POY. PG AA,2018,LSU,365.0
813,Triston Casas,Miami (FL),14,6-4,238,L/R,"Pembroke Pines, FL",Rd 1 by Red Sox (2018),None,Elite Squad,Can really mash. Huge power potential. PG All American,2018,Miami (FL),415.0
814,Connor Scott,Florida,15,6-4,180,L/L,"Tampa, FL",Rd 1 by Marlins (2018),None,2017 Scorpion Prime,Showed big potential with the bat at PG National. Also a prospect on the mound PG All American,2018,Florida,235.0
815,Jeremiah Jackson,Mississippi St.,16,6-0,170,R/R,"Mobile, AL",Rd 2 by Angels (2018),None,Coast Titans,"Easy fluid swing, he can really hit. Long HR at WWBA World Championship in Jupiter. Outstanding at PG National and PG AA",2018,Mississippi St.,430.0
816,Anthony Seigler,Florida,17,6-0,190,S/B,"Cartersville, GA",Rd 1 by Yankees (2018),None,Evoshield Canes,"Big hitter, dominates as BHP on the mound, can really catch stood out at Main Event. National. WWBA and PG Underclass AA. PG All American",2018,Florida,235.0
817,Cole Wilcox,Georgia,18,6-5,220,R/R,"Chickamauga, GA",Rd 3 by Padres (2020),None,Exposure 17U prime,Up to 95 mph at PG National and 97 at WWBA. PG AA,2018,Georgia,257.0
818,Xavier Edwards,Vanderbilt,19,5-8,140,S/R,"Wellington, FL",Rd 1 by Padres (2018),None,Evoshield Canes,Can really pick it and very projectable bat. About as good of hands in the IF as you will see. Very good at NUC Main Event. MVP of 17u WWBA. PG All American,2018,Vanderbilt,736.0
819,Joe Gray Jr,Ole Miss,20,6-3,195,R/R,"Hattiesburg, MS",Rd 2 by Brewers (2018),None,Evoshield Canes,Very impressive at PG National. Huge power potential. Very impressive at Fall WWBA Events. PG All American. Hit very well this fall ,2018,Ole Miss,433.0
820,Nick Decker,Maryland,21,6-0,200,L/L,"Southampton, NJ",Rd 2 by Red Sox (2018),None,All Out Baseball,Showed huge power at PG National and it played in games. PG All American,2018,Maryland,392.0
821,Noah Naylor,Texas A&M,22,6-0,195,L/R,"Mississauga, ON",Rd 1 by Indians (2018),None,Ontario Blue Jays/Canada Junior National Team,Very good at PG National. Continued to hit at PG Underclass All American Games Can really hit. Bat really impressed in Jupiter. Very good at PG AA,2018,Texas A&M,697.0
822,Mike Vasil,Virginia,23,6-4,210,L/R,"Wellesley, MA",Rd 8 by Mets (2021),None,Louisiana Knights,Up to 96 mph at PG All American,2018,Virginia,746.0
823,J.T. Ginn,Mississippi St.,24,6-2,200,R/R,"Brandon, MS",Rd 1 by Dodgers (2018),None,East Coast Sox,Up to 97 mph at WWBA. PG All American,2018,Mississippi St.,430.0
824,Parker Meadows,Clemson,25,6-4,195,L/R,"Grayson, GA",Rd 2 by Tigers (2018),None,Team Elite,Austin's younger brother is an extremely high ceiling talent. Showed big tools at PG National. PG All American,2018,Clemson,147.0
825,Nicholas Schnell,Louisville,26,6-2,180,L/R,"Indianapolis, IN",Rd 1 Comp by Rays (2018),None,Indiana Bulls 17u black,"Big time all around tools that really project. Very good at PG National, PG All American and WWBA World Championship ",2018,Louisville,367.0
826,Grayson Rodriguez,Texas A&M,27,6-5,230,L/R,"Nacogdoches, TX",Rd 1 by Orioles (2018),None,D-Bat Schkade,Very high ceiling RHP already up to 91 mph at PG Evoshield Classic,2018,Texas A&M,697.0
827,Alek Thomas,TCU,28,5-11,175,L/L,"Chicago, IL",Rd 2 by Diamondbacks (2018),None,Chicago White Sox ACE,Can flat out rake. Really impressed at PG National. PG All American,2018,TCU,698.0
828,Adam Kloffenstein,TCU,29,6-5,220,R/R,"Magnolia, TX",Rd 3 by Blue Jays (2018),None,Premier Baseball Futures Evans,Up to 93 and can really pitch. Very good at PG Underclass All American Games,2018,TCU,698.0
829,Kendall Logan Simmons,Georgia Tech,30,6-3,190,R/R,"Macon, GA",Rd 6 by Phillies (2018),None,East Cobb Yankees,"Very athletic player.Really projects potential high level 5 tool player. low 90's on the mound. Outstanding at Main Event Showcase, PG Underclass AA Games, PG National and PG AA",2018,Georgia Tech,255.0
830,Austin Becker,Vanderbilt,31,6-6,185,R/R,"Sunbury, OH",Rd 37 by Rangers (2018),None,Evoshield Canes,Touched 96 mph at WWBA World Championship. Lights out at PG All American ,2018,Vanderbilt,736.0
831,Jordyn Adams,North Carolina,32,6-2,180,R/R,"Cary, NC",Rd 1 by Angels (2018),None,Diamond Devils 17u Black,None,2018,North Carolina,457.0
832,Lineras Torres Jr,St. John's (NY),33,6-2,190,R/R,"Beacon, NY",Rd 1 by Indians (2018),None,None,Throws easy and up to 94 mph at PG National. PG All American,2018,St. John's (NY),603.0
833,Luke Bartnicki,Georgia Tech,34,6-3,210,L/L,"Marietta, GA",Rd 29 by Diamondbacks (2018),None,East Cobb Colt .45s,Easy low 90's LHP and keeps getting better each time out. Up to 95 mph at WWBA World Championship. Lights out at PG National. PG AA,2018,Georgia Tech,255.0
834,Jon Childress,Texas A&M,35,6-4,215,L/L,"Forney, TX",None,None,Houston Banditos Black,Up to 93 mph at PG National. 94 and lights out at WWBA. PG All American,2018,Texas A&M,697.0
835,Justin Jarvis,UNCW,36,6-3,175,R/R,"Mooresville, NC",Rd 5 by Brewers (2018),None,Canes National,Up to 93 mph at PG National. Dominant at WWBA. Keeps getting better. Up to 94 mph this fall ,2018,UNCW,460.0
836,Osiris Johnson,Cal St. Fullerton,37,6-1,185,R/R,"Alameda, CA",Rd 2 by Marlins (2018),None,NorCal Scarlet,Showed big power potential at PG National. PG All American,2018,Cal St. Fullerton,97.0
837,Elijah Cabell,Florida St.,38,6-2,195,R/R,"Winter Park, FL",Rd 14 by Brewers (2018),None,Central Florida Gators,Extremely fast bat and the ball just flies off his barrel. Very fun to watch him hit. Huge power at PG National. Very good at WWBA and PG All American,2018,Florida St.,234.0
838,Slade Cecconi,Miami (FL),39,6-4,203,R/R,"Oviedo, FL",Rd 1 Comp by Diamondbacks (2020),None,Orlando Scorpions/Prime,Low 90's and can really pitch. Showed good off speed at PG Junior National. Very high ceiling RHP. Up to 96 mph at PG National,2018,Miami (FL),415.0
839,Seth Halvorsen,Missouri,40,6-1,198,R/R,"Plymouth, MN",Rd 19 by Phillies (2021),None,MN Blizzard Elite Blue,"Huge tools at PG National. 6.6 Runner, 95 across IF and 93-94 on the mound. Showed big potential with bat as well. Lights out inning at PG All American Game and up to 96 mph",2018,Missouri,434.0
840,Nicholas Northcut,Vanderbilt,41,6-0,198,R/R,"Mason, OH",Rd 11 by Red Sox (2018),None,Evoshield Canes,Can flat out rake and also low 90s on the mound. Special bat and hit all summer. Good defensive 3B. PG All American,2018,Vanderbilt,736.0
841,Grant Lavigne,Wake Forest,42,6-4,230,L/R,"Bedford, NH",Rd 1 by Rockies (2018),None,North East Baseball Rays,Huge power potential. Has swung it very well all year ,2018,Wake Forest,749.0
842,Mike Siani,Virginia,43,6-0,195,L/L,"Glenside, PA",Rd 4 by Reds (2018),None,Whiz Kids,Can really swing the bat. Very impressive at TOS,2018,Virginia,746.0
843,Matt McLain,UCLA,44,5-11,175,S/R,"Tustin, CA",Rd 1 by Reds (2021),None,Evoshield Canes,Very good all around player ,2018,UCLA,110.0
844,Braxton Ashcraft,Baylor,45,6-5,195,L/R,"Waco, TX",Rd 2 by Pirates (2018),None,Brazos River Wranglers,Easy low 90s at PG National and can really pitch,2018,Baylor,51.0
845,Gunnar Hoglund,Ole Miss,46,6-4,210,L/R,"Hudson, FL",Rd 1 by Blue Jays (2021),None,Central Florida Gator's,Low 90's RHP at WWBA and PG National,2018,Ole Miss,433.0
846,Preston Hartsell,Southern California,47,6-0,215,L/L,"Newport Coast, CA",None,None,FTB Tucci 55,Can really swing it with good power. Mashed at WWBA and won HR Derby at PG All American. MVP in Jupiter ,2018,Southern California,657.0
847,Blaze Alexander,South Carolina,48,6-1,175,R/R,"Cape Coral, FL",Rd 11 by Diamondbacks (2018),None,None,Very good SS who really projects with the bat. 99 mph across the diamond at PG National. PG All American,2018,South Carolina,648.0
848,Simeon Woods Richardson,Texas,49,6-3,200,R/R,"Houston, TX",Rd 2 by Mets (2018),None,Marucci Houston,Easy Low 90's with more in there. Can swing it to,2018,Texas,703.0
849,Landon Marceaux,LSU,50,6-0,180,R/R,"Destrehan, LA",Rd 3 by Angels (2021),None,Evoshield Canes 17U,Can flat out pitch and up to 92 mph at PG National. 94 at WWBA and MVPitcher at 17u WWBA,2018,LSU,365.0
850,Bobby Witt Jr,Oklahoma,1,6-1,185,R/R,"Colleyville, TX",Rd 1 by Royals (2019),None,EC Sox,Outstanding defensive SS and can really hit. Every time he hit this summer you almost expected a 100+ exit velos and extra bases. 6.4 60 at PG National. Very good in Jupiter,2019,Oklahoma,522.0
851,CJ Abrams,Alabama,2,6-2,182,L/R,"Alpharetta, GA",Rd 1 by Padres (2019),None,DRB Elite,Smooth easy swing and ball jumps off his barrel usually to a gap and he uses his 6.2 speed to fly around the bases.,2019,Alabama,8.0
852,Riley Greene,Florida,3,6-2,190,L/L,"Oviedo, FL",Rd 1 by Tigers (2019),None,FTB Tucci / SF Giants 17u,"Can flat out hit. Finds the barrel almost every AB and ball jumps. Really impressed at WWBA, PG National and PG All American Classic. Mashed in Jupiter ",2019,Florida,235.0
853,Daniel Espino,LSU,4,6-4,200,R/R,"Statesboro, GA",Rd 1 by Indians (2019),None,GBSA Rays,"Up to 98 mph at PG National and has shown a wipe out slider. Very good at WWBA, East Coast Pro and PG All American Classic ",2019,LSU,365.0
854,Brennan Malone,North Carolina,5,6-5,220,R/R,"Matthews, NC",Rd 1 Comp by Diamondbacks (2019),None,On Deck O's,Arm really works well and up to 96 mph at PG National and breaking ball is showing good progress. Keeps getting better each outing. Lights out at PG All American Classic. Up to 97 mph in Jupiter ,2019,North Carolina,457.0
855,Corbin Carroll,UCLA,6,5-10,170,L/L,"Seattle, WA",Rd 1 by Diamondbacks (2019),None,Canes National & WW Sweets,Outstanding this fall at Ways to Play and in Jupiter.  Bat really impressed at both PG National and TOS. Outstanding at Area Codes and PG Underclass All American Games. MVP of PG All American Classic and a HR Derby finalist. Special bat ,2019,UCLA,110.0
856,Quinn Priester,TCU,7,6-3,190,R/R,"Cary, IL",Rd 1 by Pirates (2019),None,Blackhawks National,Up to 93 mph at PG National with a lot of life with an outstanding breaking ball,2019,TCU,698.0
857,Matthew Allan,Florida,8,6-3,210,R/R,"Sanford, FL",Rd 3 by Mets (2019),None,Canes 17U National,Up to 95 mph and very good at PGNational. Dominant at PG All American Classic ,2019,Florida,235.0
858,Brett Baty,Texas,9,6-3,210,L/R,"Spicewood, TX",Rd 1 by Mets (2019),None,Lone Star Baseball Club,Big potential with bat. Impressed at PG National. ,2019,Texas,703.0
859,Tyler Callihan,South Carolina,10,6-1,200,L/R,"Neptune Beach, FL",Rd 3 by Reds (2019),None,Elite Squad,Showed big power in his bat this summer with 400+ foot HRs,2019,South Carolina,648.0
860,Rece Hinds,LSU,11,6-4,210,R/R,"Niceville, FL",Rd 2 by Reds (2019),None,EC Sox,Very impressive at WWBA and PG National. Bat really stands out with big power. 98 mph across the IF as well. HR Derby champion at PG All American Classic. Very good in Jupiter ,2019,LSU,365.0
861,Jerrion Ealy,Ole Miss,12,5-10,192,R/R,"Carthage, MS",Rd 31 by Diamondbacks (2019),None,Team Georgia,"Outstanding athlete. Good hitting tools. Ran 6.13 at PG National, 96 from OF and ball jumps off his barrel ",2019,Ole Miss,433.0
862,JJ Goss,Texas A&M,13,6-3,185,R/R,"Cypress, TX",Rd 1 Comp by Rays (2019),None,Hunter Pence Baseball - Danielson,Showed big time stuff at 17u WWBA Playoffs up to 96 mph. Up to 94 mph at PG National and very good at PG All Americal Classic. ,2019,Texas A&M,697.0
863,Hunter Barco,Florida,14,6-5,220,L/L,"Jacksonville, FL",Rd 24 by Mets (2019),None,East Cobb Astros,"Up to 94 on the mound. Lights out in Jupiter, PG National and PG All American Classic",2019,Florida,235.0
864,Jack Leiter,Vanderbilt,15,6-1,195,R/R,"Summit, NJ",Rd 1 by Rangers (2021),None,Tri State Arsenal,Very good at Area Codes and PG All American Classic. Up to 94 mph at PG National. Lows 90s RHP who showed outstanding pitchability at PG Underclass AA Games,2019,Vanderbilt,736.0
865,Gunnar Henderson,Auburn,16,6-3,195,L/R,"Selma, AL",Rd 2 by Orioles (2019),None,TPL National,Can flat out swing it! Big potential,2019,Auburn,37.0
866,Kendall Williams,Vanderbilt,17,6-6,208,R/R,"Olive Branch, MS",Rd 2 by Blue Jays (2019),None,Scorpions Founders Club,Up to 94 at PG National. Outstanding at 17u WWBA and PG All American Classic ,2019,Vanderbilt,736.0
867,Nasim Nunez,Clemson,18,5-9,160,S/R,"Lawrenceville, GA",Rd 2 by Marlins (2019),None,Team Elite Prime 17u,Special defender in the MIF and bat projects. Very good at PG World and PG National ,2019,Clemson,147.0
868,Trejyn Fletcher,Vanderbilt,19,6-2,190,R/R,"Portland, ME",Rd 2 by Cardinals (2019),None,Team Elite,New to 2019 Class incredible athlete with 5 tool potential who has hit very well against top level pitching. Big power potential and also low 90s on the mound. ,2019,Vanderbilt,736.0
869,Keoni Cavaco,San Diego St.,20,6-1,185,R/R,"Chula Vista, CA",Rd 1 by Twins (2019),None,San Diego Show,Bat really standing out this spring,2019,San Diego St.,626.0
870,Myles Austin,Alabama,21,6-3,177,R/R,"Smyrna, GA",Rd 20 by Brewers (2019),None,FTB,"Outstanding athlete, 92 across the infield, 90 on the mound and bat really projects. Showed big power potential at PG All American Classic. Impressed in Jupiter ",2019,Alabama,8.0
871,Matthew Thompson,Texas A&M,22,6-3,184,R/R,"Cypress, TX",Rd 2 by White Sox (2019),None,Canes National Baseball,Absolutely dominant at PG All American Classic. Outstanding at WWBA. Up to 96 mph in Jupiter,2019,Texas A&M,697.0
872,Maurice Hampton,LSU,23,6-0,195,R/R,"Arlington, TN",Rd 23 by Padres (2019),None,Banditos,Very good hitter who really impressed with the bat at PG World Series and PG National Can really run,2019,LSU,365.0
873,Erik Rivera,FIU,24,6-2,195,L/L,"Caguas, PR",Rd 4 by Angels (2019),None,Florida Legends ,Up to 97 mph from the OF and serious juice in his bat,2019,FIU,231.0
874,Anthony Volpe,Vanderbilt,25,5-11,180,R/R,"Watchung, NJ",Rd 1 by Yankees (2019),None,Canes,Very good MIF and good bat to go with it,2019,Vanderbilt,736.0
875,Brooks Lee,Cal Poly,26,6-1,180,S/R,"San Luis Obispo, CA",Rd 35 by Giants (2019),None,BPA ,Really stood out at 17u PG World Series and in Jupiter ,2019,Cal Poly,90.0
876,Connor Walsh,Rice,27,6-2,195,R/R,"Niceville, FL",None,None,2019 Orlando Scorpions Prime,Big time tools at PG National and power in his bat. Very good in Jupiter ,2019,Rice,574.0
877,Matthew Lugo,Miami (FL),28,6-1,185,R/R,"Manati, PR",Rd 2 by Red Sox (2019),None,Florida Legends,Showed electric all around tools at PG National. Stood out in Jupiter ,2019,Miami (FL),415.0
878,Josh Wolf,Texas A&M,29,6-2,165,R/R,"Bellaire, TX",Rd 2 by Mets (2019),None,Premier Baseball Futures Evans,Always shown good pitchability at PG Tournaments and has seen his velo jump into the mid 90s this spring. ,2019,Texas A&M,697.0
879,Bryce Osmond,Oklahoma St.,30,6-3,175,R/R,"Tulsa, OK",Rd 35 by Nationals (2019),None,None,Great athlete and was up to 94 on the mound at PG National. Also a 6.4 runner with good hitting tools.,2019,Oklahoma St.,521.0
880,Spencer Jones,Vanderbilt,31,6-7,205,L/L,"Encinitas, CA",Rd 31 by Angels (2019),None,Blackhawks National,Up to 93 on the mound with low 80s hammer. Extremely high ceiling.,2019,Vanderbilt,736.0
881,Andrew Dalquist,Arizona,32,6-2,170,R/R,"Redondo Beach, CA",Rd 3 by White Sox (2019),None,TB SoCal Baseball,Big velo jump into the mid 90s this spring ,2019,Arizona,29.0
882,Blake Walston,NC State,33,6-4,172,L/L,"Wilmington, NC",Rd 1 by Diamondbacks (2019),None,Rock Solid Tucci,Projectable LHP who spins it well and throws easy low 90s,2019,NC State,490.0
883,Sammy Siani,Duke,34,5-11,175,L/L,"Glenside, PA",Rd 1 Comp by Pirates (2019),None,Philadelphia Whiz Kids,Very good at WWBA this summer and really hit well in Jupiter ,2019,Duke,193.0
884,Joe Charles,North Carolina,35,6-3,190,R/R,"Celebration, FL",Rd 25 by Mets (2019),None,Orlando Scorpions,96 at 17u WWBA. Up to 94 mph at Junior National and set and event record throwing 98 mph from OF. Juice in bat,2019,North Carolina,457.0
885,Kyren Paris,California,36,6-0,167,R/R,"Oakley, CA",Rd 2 by Angels (2019),None,Show California,Can really play. Fun to watch at PG National. Power to come with more strength. Very young for the class ,2019,California,107.0
886,Derek Diamond,Ole Miss,37,6-2,185,R/R,"Ramona, CA",Rd 40 by Diamondbacks (2019),None,Garciaparra Baseball Group,Up to 93 and very good at PG National.,2019,Ole Miss,433.0
887,Hayden Mullins,Auburn,38,6-0,190,L/L,"Gallatin, TN",None,None,Rawlings Southeast Prospects,Up to 92 mph at PG National,2019,Auburn,37.0
888,Trevor McDonald,South Alabama,39,6-2,180,R/R,"Lucedale, MS",Rd 11 by Giants (2019),None,Deep South Reds 18u,"Was absolutely electric at PG World! FB up to 95 mph with life, 2 quality breaking balls and showed the potential for a plus change. ",2019,South Alabama,646.0
889,Riley Cornelio,TCU,40,6-3,193,R/R,"Monument, CO",None,None,Slammers-Cronican,Up to 93 at PG National,2019,TCU,698.0
890,Jason Hodges,Arkansas,41,6-3,210,R/R,"Park Forest, IL",Rd 34 by Reds (2019),None,Chi-Town Cream,Big power in his bat. Outstanding in Jupiter ,2019,Arkansas,31.0
891,Cade Doughty,LSU,42,6-1,195,R/R,"Denham Springs, LA",Rd 39 by Tigers (2019),None,EvoShield Canes,Can really hit and just an outstanding all around player,2019,LSU,365.0
892,Jack Kochanowicz,Virginia,43,6-6,220,L/R,"Bala Cynwyd, PA",Rd 3 by Angels (2019),None,Banditos Scout Team,Big projection and already very good. Up to 94 in Jupiter ,2019,Virginia,746.0
893,Hayden Dunhurst,Ole Miss,44,5-11,208,S/R,"Carriere, MS",Rd 37 by Rockies (2019),None,East Coast Sox Scout,Showed outstanding defensive tools at PG National. Big power potential at Junior National and PG Underclass All American Games. Really hit well in Jupiter ,2019,Ole Miss,433.0
894,Mack Anglin,Clemson,45,6-5,195,R/R,"Marengo, OH",Rd 13 by Nationals (2021),None,Team Elite Prime,Up to 93 MPH at PG National with very good breaking ball,2019,Clemson,147.0
895,Hayden Travinski,LSU,46,6-3,234,R/R,"Shreveport, LA",None,None,Canes American,Big power in his bat. Lots of loud contact at PG National including a HR,2019,LSU,365.0
896,Chris Newell,Virginia,47,6-2,190,L/L,"Newtown Square, PA",Rd 37 by Cardinals (2019),None,Canes National,Really impressed at WWBA this summer,2019,Virginia,746.0
897,Landon Sims,Mississippi St.,48,6-2,215,R/R,"Cumming, GA",None,None,Team Elite Prime,Up to 97 at 17u  WWBA ,2019,Mississippi St.,430.0
898,Evan Fitterer,UCLA,49,6-3,195,R/R,"Aliso Viejo, CA",Rd 5 by Marlins (2019),None,Saddleback Cowboys,Very good in Jupiter ,2019,UCLA,110.0
900,Zac Veen,Florida,1,6-4,195,L/R,"Port Orange, FL",Rd 1 by Rockies (2020),None,Orlando Scorpions 2020 Founders Club,Can really swing it. Big power potential. Very good at PG National ,2020,Florida,235.0
901,Jordan Walker,Duke,2,6-5,220,R/R,"Stone Mountain, GA",Rd 1 by Cardinals (2020),None,Team Elite Scout Team,Power is coming in a big way. Outstanding at PGAAC.  A lot of loud contact at PG National and defense stands out at 3B.  .Showed big potential with bat at PG Underclass All American Games,2020,Duke,193.0
902,Blaze Jordan,Mississippi St.,3,6-2,222,R/R,"Southaven, MS",Rd 3 by Red Sox (2020),None,Dulins Dodgers,New to 2020 class after being #1 from the start in 2021 class and jumps right to the top of 2020 list with his light tower power and outstanding hit tool to go with it that plays in games. Big arm strength and athleticism to project at any corner position. Very loud fall including the top exit velocity in Jupiter,2020,Mississippi St.,430.0
903,Austin Hendrick,Mississippi St.,4,6-1,205,L/L,"Oakdale, PA",Rd 1 by Reds (2020),None,Team Elite Prime,"Showed huge power at PG National, Just continues to flat out mash. Seems like you can count on loud contact every time he is up. MVP of 2017 15u PG World Series",2020,Mississippi St.,430.0
